antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
Caesar Rules Dressing,Organic Tortilla Chips Blue Corn With Flax,0.0286718136713182,0.1427188683703099,0.0081625498250882,0.284688995215311,1.9947537313470969,0.0040705410237932,1.198473287696356
Pearl Plastic Unscented Multipack,Organic Tortilla Chips Blue Corn With Flax,0.0309353779085276,0.1427188683703099,0.0088560998102264,0.2862774082286277,2.0058833950801027,0.0044410376825134,1.201140529266452
Honeycrisp Apple Wheat Beer,Organic Tortilla Chips Blue Corn With Flax,0.0236492923503723,0.1427188683703099,0.006592535573017,0.278762487914921,1.953227986587038,0.0032173353310133,1.188625268743042
Gel Scar Treatment,Cherries Rainer Organic,0.0267131065704334,0.1179797117575776,0.0081320641114557,0.3044222539229672,2.580293250321616,0.0049804594981265,1.2680398319481916
Brie Soft-Ripened Cheese Wheel,Organic Tortilla Chips Blue Corn With Flax,0.0223460280925851,0.1427188683703099,0.0070498212775038,0.3154843110504775,2.210529796465988,0.0038606214355589,1.2523907712696816
Deep Cleansing Nose/Face Combo Pore Strips,Cherries Rainer Organic,0.0290986136621725,0.1179797117575776,0.0061352498685303,0.2108433734939759,1.7871155163288817,0.0027022038161221,1.117674563727039
Traditional Italian-Style Wedding Soup,Cherries Rainer Organic,0.0220335495278525,0.1179797117575776,0.0074156498410932,0.3365617433414043,2.85270864225338,0.0048161380188008,1.3294685366573735
Honey Cinnamon Almonds,Cherries Rainer Organic,0.0830278410779748,0.1179797117575776,0.023428270926537,0.2821736735817881,2.3917135359814496,0.0136326701683036,1.2287377263571546
Cherries Rainer Organic,Honey Cinnamon Almonds,0.1179797117575776,0.0830278410779748,0.023428270926537,0.198578811369509,2.3917135359814496,0.0136326701683036,1.1441825745698009
Baby's Super Daily Liquid Vitamin D Drops,Cherries Rainer Organic,0.0745680555449702,0.1179797117575776,0.0170415139205389,0.2285363859362223,1.9370820841282816,0.0082439962210203,1.1433076974249947
Cherries Rainer Organic,Baby's Super Daily Liquid Vitamin D Drops,0.1179797117575776,0.0745680555449702,0.0170415139205389,0.1444444444444444,1.9370820841282816,0.0082439962210203,1.0816737013110735
White Wine & Garlic Sauces Skillet Shrimp Scampi,Cherries Rainer Organic,0.0326959278708015,0.1179797117575776,0.0076214284081122,0.2331002331002331,1.975765405997964,0.0037639722622685,1.1501115612644353
White Bean Chili Starter with Roasted New Mexico green chile,Cherries Rainer Organic,0.0316898993209307,0.1179797117575776,0.0069507427081983,0.2193362193362193,1.8591011629771323,0.0032119775206883,1.129833751852123
Coconut Shrimp,Cherries Rainer Organic,0.0459800775861411,0.1179797117575776,0.0071031712763606,0.1544836731311122,1.3094088028333402,0.0016784549761566,1.0431735736064565
Corn Tortillas Gluren Free,Cherries Rainer Organic,0.0374059706270149,0.1179797117575776,0.0085207569602694,0.2277913610431947,1.930767228108304,0.0041076113276818,1.142204637122377
Italian Squash,Cherries Rainer Organic,0.0422684419513905,0.1179797117575776,0.0135661425664398,0.3209520375045077,2.720400251222801,0.0085793239685728,1.2989072009008165
Cherries Rainer Organic,Italian Squash,0.1179797117575776,0.0422684419513905,0.0135661425664398,0.1149870801033591,2.720400251222801,0.0085793239685728,1.0821667531819326
Hot Raw Hummus,Cherries Rainer Organic,0.0351576492466218,0.1179797117575776,0.0096639712214863,0.2748753522653371,2.3298527193399625,0.0055160818972958,1.2163705798691464
"Matches, Strike On Box, Large Kitchen",Cherries Rainer Organic,0.0214085923983873,0.1179797117575776,0.0061733570105709,0.2883588465646137,2.444139269954548,0.0036475774502737,1.2394172034382012
Organic Gluten Free Yellow Cornmeal,Cherries Rainer Organic,0.0378480134746854,0.1179797117575776,0.0086655641000236,0.2289569069673782,1.9406464345143883,0.0042002663796833,1.1439312487364508
Cage Free White Omega 3 Eggs,Cherries Rainer Organic,0.0291367208042131,0.1179797117575776,0.006249571294652,0.2144912372482343,1.8180349320480356,0.0028120293726099,1.122864988994599
Organic Black Sesame Seeds,Cherries Rainer Organic,0.0274142779839797,0.1179797117575776,0.0062876784366926,0.2293577981651376,1.9440444017732263,0.0030533498221005,1.1445263264098102
Brewer's Yeast Powder,Cherries Rainer Organic,0.0349747349648271,0.1179797117575776,0.0079339069728448,0.2268468075833515,1.9227611612534865,0.0038075978228968,1.1408092172335051
Salmon Dinner Classic Pate Cat Food,Cherries Rainer Organic,0.0555830773803626,0.1179797117575776,0.0184438567476316,0.3318250377073907,2.812560166185338,0.0118861812996973,1.320043907685612
Cherries Rainer Organic,Salmon Dinner Classic Pate Cat Food,0.1179797117575776,0.0555830773803626,0.0184438567476316,0.1563307493540051,2.812560166185337,0.0118861812996973,1.1194160767344554
"Sauce, Duck, All Natural, Jar",Cherries Rainer Organic,0.0620003200999931,0.1179797117575776,0.0080558498273746,0.1299323909035033,1.1013113099520526,0.0007410699330999,1.0137376440876105
Extra Crispy Tator Tots,Cherries Rainer Organic,0.0564671630757036,0.1179797117575776,0.0081549283966801,0.1444189499257659,1.224099870853348,0.0014929487732404,1.0309020848064534
Sandies Toffee Shortbread Cookies,Organic Tortilla Chips Blue Corn With Flax,0.0494935560822809,0.1427188683703099,0.0148465425390026,0.2999692023406221,2.101818811807684,0.007782878223317,1.224633451122571
Organic Tortilla Chips Blue Corn With Flax,Sandies Toffee Shortbread Cookies,0.1427188683703099,0.0494935560822809,0.0148465425390026,0.1040264872369966,2.1018188118076835,0.007782878223317,1.060864445631375
Baby's Super Daily Liquid Vitamin D Drops,Honey Cinnamon Almonds,0.0745680555449702,0.0830278410779748,0.0124915211608959,0.1675183973834832,2.0176171656223105,0.0063002964956145,1.1014924006007485
Honey Cinnamon Almonds,Baby's Super Daily Liquid Vitamin D Drops,0.0830278410779748,0.0745680555449702,0.0124915211608959,0.1504497888746098,2.0176171656223105,0.0063002964956145,1.089319892262895
Honey Cinnamon Almonds,Organic Tortilla Chips Blue Corn With Flax,0.0830278410779748,0.1427188683703099,0.016568985359236,0.199559390490178,1.3982691480735754,0.0047193458373575,1.071011542198835
Organic Tortilla Chips Blue Corn With Flax,Honey Cinnamon Almonds,0.1427188683703099,0.0830278410779748,0.016568985359236,0.116095268610488,1.3982691480735754,0.0047193458373575,1.0374106239713536
Coconut Shrimp,Honey Cinnamon Almonds,0.0459800775861411,0.0830278410779748,0.0062267070094277,0.1354218465108569,1.63104140433661,0.0024090804348526,1.0606006585077796
Corn Tortillas Gluren Free,Honey Cinnamon Almonds,0.0374059706270149,0.0830278410779748,0.007270842701339,0.1943765281173594,2.3411005946163588,0.0041651057167518,1.1382143034874304
Honey Cinnamon Almonds,Corn Tortillas Gluren Free,0.0830278410779748,0.0374059706270149,0.007270842701339,0.0875711400771066,2.3411005946163583,0.0041651057167518,1.054979814485845
Italian Squash,Honey Cinnamon Almonds,0.0422684419513905,0.0830278410779748,0.0127277854415474,0.3011179228272628,3.626710256677284,0.0092183279605937,1.3120556226474591
